DEPENDENCIA,No.,APELLIDOS Y NOMBRES,TITULAR DEL CARGO,GENERO,DOCUMENTO,FECHA INGRESO,CARGO,CODIGO,GRADO,SUELDO,GASTOS REP.,FECHA CORTE,HOY,DIAS TOTALES,AÑOS,MESES,PERIODOS,OBSERVACIONES,TIPO VINCULACION,REVISION PLANTA
SECRETARIA DE INTEGRACION SOCIAL,11,NAVARRO REYES LUISA FERNANDA,,F,1049654308,2026-01-07,SECRETARIA DE DESPACHO,20,10,20735000,,2026-01-07,2026-04-05,117,0,4,0,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
SECRETARIA DE INFRAESTRUCTURA PUBLICA,3,LÓPEZ VARGAS DIEGO ALEJANDRO,,M,1067890123,2024-01-18,SECRETARIO DE DESPACHO,20,10,20735000,,2024-01-18,2026-04-05,826,2,4,2,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
SECRETARIA DE AGRICULTURA,9,CASTRO SILVA ANA LUCÍA,,F,1075468998,2025-01-15,SECRETARIO DE DESPACHO,20,10,20735000,,2025-01-15,2026-04-05,469,1,4,1,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
SECRETARIA DE EDUCACION,6,RODRÍGUEZ MORA NATALIA ANDREA,,F,1112334557,2026-01-09,SECRETARIA DE DESPACHO,20,10,20735000,,2026-01-09,2026-04-05,115,0,4,0,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
SECRETARÍA DE EDUCACIÓN,22,MARTÍNEZ PÉREZ LAURA,,F,1010000000,2022-01-01,PROFESIONAL UNIVERSITARIO,200,1,3500000,,2026-05-20,2026-05-22,15,0,0,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
SECRETARÍA DE SALUD,23,TORRES ROA CARLOS ANDRÉS,,M,1010001379,2023-02-02,TÉCNICO ADMINISTRATIVO,201,2,3525000,,2026-05-20,2026-05-22,5,1,1,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE HACIENDA,24,ROJAS DÍAZ DIANA CAROLINA,,F,1010002758,2024-03-03,AUXILIAR ADMINISTRATIVO,202,3,3550000,,2026-05-20,2026-05-22,2,2,2,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
DIRECCIÓN DE TALENTO HUMANO,25,MORENO GIL JUAN SEBASTIÁN,,F,1010004137,2025-04-04,PROFESIONAL ESPECIALIZADO,203,4,3575000,,2026-05-20,2026-05-22,126,3,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE PLANEACIÓN,26,GÓMEZ PEÑA PAULA ANDREA,,M,1010005516,2022-05-05,CONTRATISTA DE APOYO,204,5,3600000,,2026-05-20,2026-05-22,15,4,4,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
OFICINA JURÍDICA,27,CASTRO RUIZ MIGUEL ÁNGEL,,F,1010006895,2023-06-06,ASESOR JURÍDICO,205,6,3625000,,2026-05-20,2026-05-22,5,0,5,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE GOBIERNO,28,SILVA MORA NATALIA FERNANDA,,F,1010008274,2024-07-07,PROFESIONAL UNIVERSITARIO,206,7,3650000,,2026-05-20,2026-05-22,2,1,6,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
SECRETARÍA DE INFRAESTRUCTURA,29,VARGAS LÓPEZ ANDRÉS FELIPE,,M,1010009653,2025-08-08,TÉCNICO ADMINISTRATIVO,207,8,3675000,,2026-05-20,2026-05-22,126,2,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE EDUCACIÓN,30,RODRÍGUEZ PÉREZ MARÍA CAMILA,,F,1010011032,2022-09-09,AUXILIAR ADMINISTRATIVO,208,9,3700000,,2026-05-20,2026-05-22,15,3,8,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
SECRETARÍA DE SALUD,31,HERRERA LÓPEZ SANTIAGO,,F,1010012411,2023-10-10,PROFESIONAL ESPECIALIZADO,209,10,3725000,,2026-05-20,2026-05-22,5,4,9,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE HACIENDA,32,PARDO RUIZ VALENTINA,,M,1010013790,2024-11-11,CONTRATISTA DE APOYO,210,11,3750000,,2026-05-20,2026-05-22,2,0,10,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
DIRECCIÓN DE TALENTO HUMANO,33,CÁRDENAS MÉNDEZ JORGE IVÁN,,F,1010015169,2025-12-12,ASESOR JURÍDICO,211,12,3775000,,2026-05-20,2026-05-22,126,1,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE PLANEACIÓN,34,MARTÍNEZ PÉREZ LAURA,,F,1010016548,2022-01-13,PROFESIONAL UNIVERSITARIO,212,1,3800000,,2026-05-20,2026-05-22,15,2,0,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
OFICINA JURÍDICA,35,TORRES ROA CARLOS ANDRÉS,,M,1010017927,2023-02-14,TÉCNICO ADMINISTRATIVO,213,2,3825000,,2026-05-20,2026-05-22,5,3,1,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE GOBIERNO,36,ROJAS DÍAZ DIANA CAROLINA,,F,1010019306,2024-03-15,AUXILIAR ADMINISTRATIVO,214,3,3850000,,2026-05-20,2026-05-22,2,4,2,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
SECRETARÍA DE INFRAESTRUCTURA,37,MORENO GIL JUAN SEBASTIÁN,,F,1010020685,2025-04-16,PROFESIONAL ESPECIALIZADO,215,4,3875000,,2026-05-20,2026-05-22,126,0,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE EDUCACIÓN,38,GÓMEZ PEÑA PAULA ANDREA,,M,1010022064,2022-05-17,CONTRATISTA DE APOYO,216,5,3900000,,2026-05-20,2026-05-22,15,1,4,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
SECRETARÍA DE SALUD,39,CASTRO RUIZ MIGUEL ÁNGEL,,F,1010023443,2023-06-18,ASESOR JURÍDICO,217,6,3925000,,2026-05-20,2026-05-22,5,2,5,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE HACIENDA,40,SILVA MORA NATALIA FERNANDA,,F,1010024822,2024-07-19,PROFESIONAL UNIVERSITARIO,218,7,3950000,,2026-05-20,2026-05-22,2,3,6,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
DIRECCIÓN DE TALENTO HUMANO,41,VARGAS LÓPEZ ANDRÉS FELIPE,,M,1010026201,2025-08-20,TÉCNICO ADMINISTRATIVO,219,8,3975000,,2026-05-20,2026-05-22,126,4,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE PLANEACIÓN,42,RODRÍGUEZ PÉREZ MARÍA CAMILA,,F,1010027580,2022-09-21,AUXILIAR ADMINISTRATIVO,220,9,4000000,,2026-05-20,2026-05-22,15,0,8,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
OFICINA JURÍDICA,43,HERRERA LÓPEZ SANTIAGO,,F,1010028959,2023-10-22,PROFESIONAL ESPECIALIZADO,221,10,4025000,,2026-05-20,2026-05-22,5,1,9,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE GOBIERNO,44,PARDO RUIZ VALENTINA,,M,1010030338,2024-11-23,CONTRATISTA DE APOYO,222,11,4050000,,2026-05-20,2026-05-22,2,2,10,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
SECRETARÍA DE INFRAESTRUCTURA,45,CÁRDENAS MÉNDEZ JORGE IVÁN,,F,1010031717,2025-12-24,ASESOR JURÍDICO,223,12,4075000,,2026-05-20,2026-05-22,126,3,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE EDUCACIÓN,46,MARTÍNEZ PÉREZ LAURA,,F,1010033096,2022-01-25,PROFESIONAL UNIVERSITARIO,224,1,4100000,,2026-05-20,2026-05-22,15,4,0,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
SECRETARÍA DE SALUD,47,TORRES ROA CARLOS ANDRÉS,,M,1010034475,2023-02-26,TÉCNICO ADMINISTRATIVO,225,2,4125000,,2026-05-20,2026-05-22,5,0,1,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE HACIENDA,48,ROJAS DÍAZ DIANA CAROLINA,,F,1010035854,2024-03-27,AUXILIAR ADMINISTRATIVO,226,3,4150000,,2026-05-20,2026-05-22,2,1,2,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
DIRECCIÓN DE TALENTO HUMANO,49,MORENO GIL JUAN SEBASTIÁN,,F,1010037233,2025-04-01,PROFESIONAL ESPECIALIZADO,227,4,4175000,,2026-05-20,2026-05-22,126,2,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE PLANEACIÓN,50,GÓMEZ PEÑA PAULA ANDREA,,M,1010038612,2022-05-02,CONTRATISTA DE APOYO,228,5,4200000,,2026-05-20,2026-05-22,15,3,4,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
OFICINA JURÍDICA,51,CASTRO RUIZ MIGUEL ÁNGEL,,F,1010039991,2023-06-03,ASESOR JURÍDICO,229,6,4225000,,2026-05-20,2026-05-22,5,4,5,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE GOBIERNO,52,SILVA MORA NATALIA FERNANDA,,F,1010041370,2024-07-04,PROFESIONAL UNIVERSITARIO,200,7,4250000,,2026-05-20,2026-05-22,2,0,6,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
SECRETARÍA DE INFRAESTRUCTURA,53,VARGAS LÓPEZ ANDRÉS FELIPE,,M,1010042749,2025-08-05,TÉCNICO ADMINISTRATIVO,201,8,4275000,,2026-05-20,2026-05-22,126,1,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE EDUCACIÓN,54,RODRÍGUEZ PÉREZ MARÍA CAMILA,,F,1010044128,2022-09-06,AUXILIAR ADMINISTRATIVO,202,9,4300000,,2026-05-20,2026-05-22,15,2,8,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
SECRETARÍA DE SALUD,55,HERRERA LÓPEZ SANTIAGO,,F,1010045507,2023-10-07,PROFESIONAL ESPECIALIZADO,203,10,4325000,,2026-05-20,2026-05-22,5,3,9,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE HACIENDA,56,PARDO RUIZ VALENTINA,,M,1010046886,2024-11-08,CONTRATISTA DE APOYO,204,11,4350000,,2026-05-20,2026-05-22,2,4,10,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
DIRECCIÓN DE TALENTO HUMANO,57,CÁRDENAS MÉNDEZ JORGE IVÁN,,F,1010048265,2025-12-09,ASESOR JURÍDICO,205,12,4375000,,2026-05-20,2026-05-22,126,0,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE PLANEACIÓN,58,MARTÍNEZ PÉREZ LAURA,,F,1010049644,2022-01-10,PROFESIONAL UNIVERSITARIO,206,1,4400000,,2026-05-20,2026-05-22,15,1,0,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
OFICINA JURÍDICA,59,TORRES ROA CARLOS ANDRÉS,,M,1010051023,2023-02-11,TÉCNICO ADMINISTRATIVO,207,2,4425000,,2026-05-20,2026-05-22,5,2,1,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE GOBIERNO,60,ROJAS DÍAZ DIANA CAROLINA,,F,1010052402,2024-03-12,AUXILIAR ADMINISTRATIVO,208,3,4450000,,2026-05-20,2026-05-22,2,3,2,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
SECRETARÍA DE INFRAESTRUCTURA,61,MORENO GIL JUAN SEBASTIÁN,,F,1010053781,2025-04-13,PROFESIONAL ESPECIALIZADO,209,4,4475000,,2026-05-20,2026-05-22,126,4,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE EDUCACIÓN,62,GÓMEZ PEÑA PAULA ANDREA,,M,1010055160,2022-05-14,CONTRATISTA DE APOYO,210,5,4500000,,2026-05-20,2026-05-22,15,0,4,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
SECRETARÍA DE SALUD,63,CASTRO RUIZ MIGUEL ÁNGEL,,F,1010056539,2023-06-15,ASESOR JURÍDICO,211,6,4525000,,2026-05-20,2026-05-22,5,1,5,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE HACIENDA,64,SILVA MORA NATALIA FERNANDA,,F,1010057918,2024-07-16,PROFESIONAL UNIVERSITARIO,212,7,4550000,,2026-05-20,2026-05-22,2,2,6,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
DIRECCIÓN DE TALENTO HUMANO,65,VARGAS LÓPEZ ANDRÉS FELIPE,,M,1010059297,2025-08-17,TÉCNICO ADMINISTRATIVO,213,8,4575000,,2026-05-20,2026-05-22,126,3,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE PLANEACIÓN,66,RODRÍGUEZ PÉREZ MARÍA CAMILA,,F,1010060676,2022-09-18,AUXILIAR ADMINISTRATIVO,214,9,4600000,,2026-05-20,2026-05-22,15,4,8,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
OFICINA JURÍDICA,67,HERRERA LÓPEZ SANTIAGO,,F,1010062055,2023-10-19,PROFESIONAL ESPECIALIZADO,215,10,4625000,,2026-05-20,2026-05-22,5,0,9,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE GOBIERNO,68,PARDO RUIZ VALENTINA,,M,1010063434,2024-11-20,CONTRATISTA DE APOYO,216,11,4650000,,2026-05-20,2026-05-22,2,1,10,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
SECRETARÍA DE INFRAESTRUCTURA,69,CÁRDENAS MÉNDEZ JORGE IVÁN,,F,1010064813,2025-12-21,ASESOR JURÍDICO,217,12,4675000,,2026-05-20,2026-05-22,126,2,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE EDUCACIÓN,70,MARTÍNEZ PÉREZ LAURA,,F,1010066192,2022-01-22,PROFESIONAL UNIVERSITARIO,218,1,4700000,,2026-05-20,2026-05-22,15,3,0,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
SECRETARÍA DE SALUD,71,TORRES ROA CARLOS ANDRÉS,,M,1010067571,2023-02-23,TÉCNICO ADMINISTRATIVO,219,2,4725000,,2026-05-20,2026-05-22,5,4,1,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE HACIENDA,72,ROJAS DÍAZ DIANA CAROLINA,,F,1010068950,2024-03-24,AUXILIAR ADMINISTRATIVO,220,3,4750000,,2026-05-20,2026-05-22,2,0,2,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
DIRECCIÓN DE TALENTO HUMANO,73,MORENO GIL JUAN SEBASTIÁN,,F,1010070329,2025-04-25,PROFESIONAL ESPECIALIZADO,221,4,4775000,,2026-05-20,2026-05-22,126,1,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE PLANEACIÓN,74,GÓMEZ PEÑA PAULA ANDREA,,M,1010071708,2022-05-26,CONTRATISTA DE APOYO,222,5,4800000,,2026-05-20,2026-05-22,15,2,4,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
OFICINA JURÍDICA,75,CASTRO RUIZ MIGUEL ÁNGEL,,F,1010073087,2023-06-27,ASESOR JURÍDICO,223,6,4825000,,2026-05-20,2026-05-22,5,3,5,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE GOBIERNO,76,SILVA MORA NATALIA FERNANDA,,F,1010074466,2024-07-01,PROFESIONAL UNIVERSITARIO,224,7,4850000,,2026-05-20,2026-05-22,2,4,6,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
SECRETARÍA DE INFRAESTRUCTURA,77,VARGAS LÓPEZ ANDRÉS FELIPE,,M,1010075845,2025-08-02,TÉCNICO ADMINISTRATIVO,225,8,4875000,,2026-05-20,2026-05-22,126,0,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE EDUCACIÓN,78,RODRÍGUEZ PÉREZ MARÍA CAMILA,,F,1010077224,2022-09-03,AUXILIAR ADMINISTRATIVO,226,9,4900000,,2026-05-20,2026-05-22,15,1,8,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
SECRETARÍA DE SALUD,79,HERRERA LÓPEZ SANTIAGO,,F,1010078603,2023-10-04,PROFESIONAL ESPECIALIZADO,227,10,4925000,,2026-05-20,2026-05-22,5,2,9,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE HACIENDA,80,PARDO RUIZ VALENTINA,,M,1010079982,2024-11-05,CONTRATISTA DE APOYO,228,11,4950000,,2026-05-20,2026-05-22,2,3,10,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
DIRECCIÓN DE TALENTO HUMANO,81,CÁRDENAS MÉNDEZ JORGE IVÁN,,F,1010081361,2025-12-06,ASESOR JURÍDICO,229,12,4975000,,2026-05-20,2026-05-22,126,4,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE PLANEACIÓN,82,MARTÍNEZ PÉREZ LAURA,,F,1010082740,2022-01-07,PROFESIONAL UNIVERSITARIO,200,1,5000000,,2026-05-20,2026-05-22,15,0,0,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
OFICINA JURÍDICA,83,TORRES ROA CARLOS ANDRÉS,,M,1010084119,2023-02-08,TÉCNICO ADMINISTRATIVO,201,2,5025000,,2026-05-20,2026-05-22,5,1,1,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE GOBIERNO,84,ROJAS DÍAZ DIANA CAROLINA,,F,1010085498,2024-03-09,AUXILIAR ADMINISTRATIVO,202,3,5050000,,2026-05-20,2026-05-22,2,2,2,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
SECRETARÍA DE INFRAESTRUCTURA,85,MORENO GIL JUAN SEBASTIÁN,,F,1010086877,2025-04-10,PROFESIONAL ESPECIALIZADO,203,4,5075000,,2026-05-20,2026-05-22,126,3,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE EDUCACIÓN,86,GÓMEZ PEÑA PAULA ANDREA,,M,1010088256,2022-05-11,CONTRATISTA DE APOYO,204,5,5100000,,2026-05-20,2026-05-22,15,4,4,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
SECRETARÍA DE SALUD,87,CASTRO RUIZ MIGUEL ÁNGEL,,F,1010089635,2023-06-12,ASESOR JURÍDICO,205,6,5125000,,2026-05-20,2026-05-22,5,0,5,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE HACIENDA,88,SILVA MORA NATALIA FERNANDA,,F,1010091014,2024-07-13,PROFESIONAL UNIVERSITARIO,206,7,5150000,,2026-05-20,2026-05-22,2,1,6,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
DIRECCIÓN DE TALENTO HUMANO,89,VARGAS LÓPEZ ANDRÉS FELIPE,,M,1010092393,2025-08-14,TÉCNICO ADMINISTRATIVO,207,8,5175000,,2026-05-20,2026-05-22,126,2,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE PLANEACIÓN,90,RODRÍGUEZ PÉREZ MARÍA CAMILA,,F,1010093772,2022-09-15,AUXILIAR ADMINISTRATIVO,208,9,5200000,,2026-05-20,2026-05-22,15,3,8,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
OFICINA JURÍDICA,91,HERRERA LÓPEZ SANTIAGO,,F,1010095151,2023-10-16,PROFESIONAL ESPECIALIZADO,209,10,5225000,,2026-05-20,2026-05-22,5,4,9,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE GOBIERNO,92,PARDO RUIZ VALENTINA,,M,1010096530,2024-11-17,CONTRATISTA DE APOYO,210,11,5250000,,2026-05-20,2026-05-22,2,0,10,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
SECRETARÍA DE INFRAESTRUCTURA,93,CÁRDENAS MÉNDEZ JORGE IVÁN,,F,1010097909,2025-12-18,ASESOR JURÍDICO,211,12,5275000,,2026-05-20,2026-05-22,126,1,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
