IdEducacion,Estudios,Matrícula profesional,Institución estudios,Postgrado,Institución postgrado,Diplomado o CAP SENA,Correo institucional
EDU081,Especialización,MP-388998,"Sánchez, Ramírez and Carvajal",Especialización,"Cuéllar, Alvarado and Castro",,ssaavedra@rueda.info
EDU082,Tecnólogo,,Polo-Pulido,,López-Vallejo,,yojeda@puentes.net
EDU083,Técnico,,Suárez-Moreno,,"Ramírez, González and Lozano",,elsy85@orjuela-caicedo.com
EDU084,Maestría,MP-635822,"Guevara, Restrepo and Luna",Maestría,"Ortiz, Melo and Serrano",,fernando72@diaz-guzman.com
EDU085,Especialización,MP-302283,Hernández Ltd,Especialización,Ospina and Sons,,jesusocampo@gomez.com
EDU086,Especialización,MP-308261,Montoya-Galvis,Especialización,"Burbano, Reyes and Castro",,zuluagasebastian@acosta-valderrama.com
EDU087,Profesional,MP-206530,"Galindo, Osorio and Fajardo",,Triana-Sarmiento,,dhernandez@contreras.info
EDU088,Especialización,MP-168148,Restrepo-Marín,Especialización,Palacios Ltd,,davidsuarez@palacio.org
EDU089,Especialización,MP-621430,Burbano-Castillo,Especialización,Bolívar and Sons,,isanchez@sarmiento.com
EDU090,Maestría,MP-165725,Mora and Sons,Maestría,Rangel-Cuéllar,,ester10@beltran-londono.com
EDU091,Profesional,MP-449457,Monsalve LLC,,Murillo LLC,,paradayaneth@palacios.com
EDU092,Técnico,,"Yepes, Barragán and Cortés",,"Reyes, Díaz and Rojas",,perezmaria@ortiz-paez.info
EDU093,Profesional,MP-429365,Moreno-Moreno,,"Erazo, García and Reyes",,katherineperez@prada.com
EDU094,Profesional,MP-373538,Murillo-Sánchez,,Gómez LLC,,jairocaicedo@londono-gonzalez.com
EDU095,Especialización,MP-891743,Vanegas PLC,Especialización,"Ortega, Serna and Arévalo",,espitiahumberto@molina.info
EDU096,Profesional,MP-858574,Osorio Inc,,"Galvis, Flórez and Álvarez",,patriciacarmona@gaviria-rincon.com
EDU097,Especialización,MP-813226,Ruiz PLC,Especialización,"Caballero, López and Cifuentes",,pablo59@romero.com
EDU098,Profesional,MP-837565,"Ramírez, Rodríguez and Hernández",,"Galvis, Hernández and Acevedo",,eliasestrada@gonzalez.com
EDU099,Especialización,MP-716166,Guerrero Ltd,Especialización,"García, Jiménez and Leal",,leonines@duque.com
EDU100,Profesional,MP-161063,Hernández-Ortiz,,Manrique LLC,,valderramadoris@luna.com
EDU101,Especialización,MP-566960,"Meneses, Prada and Fernández",Especialización,"Hernández, González and Suárez",,juan96@gonzalez.com
EDU102,Especialización,MP-216381,Mendoza-Osorio,Especialización,"Quiroz, Hernández and Ruiz",,yinethhernandez@nunez.org
EDU103,Profesional,MP-632295,"Guerrero, Mendoza and Márquez",,Rivera PLC,,dcamargo@mercado-alvarez.com
EDU104,Especialización,MP-715115,Rojas Ltd,Especialización,Cardona PLC,,agudelojessica@suarez-rodriguez.info
EDU105,Maestría,MP-639542,García-Giraldo,Maestría,Gutiérrez Inc,,correaandres@maldonado.com
EDU106,Profesional,MP-200417,Patiño-Rivas,,Pinto-Londoño,GESTION PARA EL DESARROLLO DE LA PROMOCION Y PREVENCARION EN EL SGSSS,ariassamir@salgado.net
EDU107,Profesional,MP-914422,Sánchez LLC,,"Jiménez, Lozano and Rodríguez",CREACION Y ADMINISTRACION DE EMPRESAS,natalygonzalez@rivas.biz
EDU108,Profesional,MP-549916,"Guzmán, Pérez and Rodríguez",,"Gallego, Hernández and Calderón","DIPLOMADOS EN: AUDITORIA MEDICA, GERENCARIA DE LA CALIDAD Y VERIFICADOR DE CONDICIONES DE HABILITACION DE PRESTADORES DE SERVICIO DE SALUD",david14@molina.com
EDU109,Técnico,,"Pabón, Ruiz and Hernández",,Ramírez Ltd,DIPLOMADOS EN: DOCENCIA UNIVERSITARIA Y ATENCION INTEGRAL A LAS ENFERMEDADES PREVALENTES EN LA INFANCIA EN LA ESTRATEGIA DE CERO A SIEMPRE,cardonasebastian@rodriguez.com
EDU110,Especialización,MP-743942,Álvarez-Arias,Especialización,Martínez Inc,,rodolfogonzalez@parada.com
EDU111,Especialización,MP-533934,Fajardo-Camacho,Especialización,Pérez PLC,,ramirezmarcela@lopez.com
EDU112,Profesional,MP-668302,"Parra, Ávila and Suárez",,Ruiz-Parra,,maria78@sandoval.com
EDU113,Profesional,MP-935036,"Lara, Orjuela and Sierra",,"Duarte, Becerra and Arteaga",,medinaelisa@martinez.info
EDU114,Maestría,MP-301139,Mosquera Inc,Maestría,Rivera and Sons,,gina31@quintero.org
EDU115,Especialización,MP-515008,Miranda PLC,Especialización,Calderón Ltd,,bustosjonatan@mora.biz
EDU116,Profesional,MP-414925,Moreno PLC,,"Soto, García and Rico",,manuelgarcia@giraldo.biz
EDU117,Profesional,MP-340853,Sánchez-Torres,,Salazar-Pineda,FORTALECIMIENTO INSTITUCIONAL DEL REGIMEN SUBSIDIADO EN SALUD,torresedward@molina.net
EDU118,Especialización,MP-802436,"Zuluaga, Contreras and Valencia",Especialización,"Ibarra, Rodríguez and Cantillo",,dianarios@ariza.info
EDU119,Profesional,MP-274293,"Sarmiento, Rubio and Torres",,Díaz LLC,,yurani13@gonzalez.org
EDU120,Maestría,MP-605629,"Rojas, Suárez and Camargo",Maestría,Barrios PLC,,jorge31@rodriguez.com
EDU121,Profesional,MP-563547,Lozano-Cabrera,,"Polo, Córdoba and López",,arroyoarmando@narvaez.com
EDU122,Especialización,MP-137641,"Ruiz, García and Calderón",Especialización,Pedraza Ltd,DIPLOMADO EN ADMINISTRACION PUBLICA,jose13@medina.com
EDU123,Especialización,MP-832176,"Osorio, Córdoba and Barrios",Especialización,Niño-Bautista,DIPLOMADO EN GESTION FINANCIERA TRIBUTARIA,hernandobustamante@hernandez-gaviria.com
EDU124,Maestría,MP-811998,Herrera Ltd,Maestría,"Mora, Pineda and González",,jacqueline25@ramos.com
EDU125,Profesional,MP-347736,"Rodríguez, Mena and Restrepo",,Benítez Inc,,dpena@pinzon.org
EDU126,Profesional,MP-921106,"López, Morales and Ramírez",,Rivas-Acosta,,paolarincon@galvis-caballero.org
EDU127,Maestría,MP-705409,"Díaz, Fonseca and Rivas",Maestría,"Ramírez, Villa and Torres",ADMINISTRACION MUNICIPAL,carmen54@mejia-bustamante.com
EDU128,Maestría,MP-237103,Ruiz Inc,Maestría,Parra-Gómez,CAP SECRETARIA AUXILIAR CONTABLE CREACION Y ADMINISTRACION DE EMPRESAS,alberto70@jaramillo.biz
EDU129,Especialización,MP-930914,"Hernández, Hernández and Velásquez",Especialización,Medina-Jaramillo,GESTION PUBLICA,maryacosta@martinez.net
EDU130,Tecnólogo,,Vargas Group,,Quintero-González,,mariamartinez@ruiz.org
EDU131,Profesional,MP-114060,Romero-Benítez,,Giraldo-Bravo,,andreschavez@cruz-escobar.com
EDU132,Profesional,MP-991378,"Alarcón, Gutiérrez and Pérez",,Duque and Sons,"DIPLOMADOS EN:GESTION PUBLICA, FINANZAS PUBLICAS Y PRESUPUESTO Y EN FORMULACION Y GESTION DE PROYECTOS DE INVERSION PUBLICA /CAP SECRETARIA GENERAL",paola89@perez-duran.com
EDU133,Técnico,,"Cano, Velasco and Rodríguez",,Londoño-González,,miguelgarcia@gomez-leon.net
EDU134,Maestría,MP-244832,"Bustamante, Rivas and Sánchez",Maestría,"Lozano, Ospina and Posada",,monicaguzman@loaiza.org
EDU135,Bachiller,,"Páez, López and Ariza",,"Díaz, Ángel and Vega",,tatianacastaneda@portilla-vargas.biz
EDU136,Profesional,MP-815080,Delgado and Sons,,"Correa, Gómez and Hurtado",,angaritaesperanza@burbano.com
EDU137,Especialización,MP-143642,Castrillón-Zuluaga,Especialización,"Mendoza, Zuluaga and Montes",,ceciliarodriguez@lopez.com
EDU138,Profesional,MP-734379,Ortega Inc,,Jiménez LLC,,roseromaria@osorio.com
EDU139,Profesional,MP-469836,Palacios Ltd,,Marín-Castro,,lgarcia@gomez-martinez.net
EDU140,Maestría,MP-551282,López LLC,Maestría,"Patiño, Quintero and Moreno",CAP SECRETARIA GENERAL,knino@arenas.biz
EDU141,Maestría,MP-742613,"Melo, Torres and Delgado",Maestría,"Jaimes, Palacio and Ávila",GESTION PUBLICA Y CAP SECRETARIA GENERAL,kdelgado@bastidas.com
EDU142,Profesional,MP-415826,Cárdenas-Pérez,,Amaya LLC,FORTALECIMIENTO INSTITUCIONAL DEL REGIMEN SUBSIDIADO EN SALUD,fabiantorres@manrique-solano.com
EDU143,Especialización,MP-296553,"Ardila, Castrillón and Cardona",Especialización,Cabrera-Vargas,,hernandezelena@bustamante.info
EDU144,Especialización,MP-980889,Domínguez Inc,Especialización,"Chaparro, Bolívar and Barrera","DIPLOMADOS EN: GESTION PUBLICA, FORTALECIMIENTO DE COMPETENCIAS PARA LA ADMINISTRACION DE SISTEMAS DE GESTIÓN",calderonmaria@bedoya-castillo.com
EDU145,Profesional,MP-577266,Orjuela LLC,,"Ángel, Palacios and Sarmiento",DIPLOMADO EN FORTASLECIMIENTO DE COMPETENCIAS PARA LA ADMINISTRACION DE SISTEMAS DE INFORMACION Y DIPLOMADO EN FINANZAS PUBLICAS Y PRESUPUESTO,linamartinez@pedraza-gutierrez.com
EDU146,Profesional,MP-357324,Rivas-Díaz,,Ramírez-Torres,,marinahoyos@castellanos.com
EDU147,Especialización,MP-462920,"Pérez, Ortiz and Forero",Especialización,Mosquera-Vergara,GESTION PUBLICA,mirandamelissa@solano-rodriguez.info
EDU148,Profesional,MP-212221,Restrepo-Parra,,Gómez-Barrera,,cesarorozco@palacios-mora.com
EDU149,Tecnólogo,,Muñoz LLC,,Rodríguez and Sons,#############,fsalgado@ayala-florez.com
EDU150,Profesional,MP-191865,"Pérez, Pacheco and Moreno",,González and Sons,,santiago65@acevedo.com
EDU151,Profesional,MP-397881,"Hernández, Narváez and Caicedo",,Mendoza PLC,GESTION PUBLICA,vcarrillo@cortes.biz
EDU152,Profesional,MP-560385,Oviedo-Ariza,,Velandia Group,,etorres@murcia-mora.com
EDU153,Tecnólogo,,Durán and Sons,,Jaimes PLC,,cabreraantonio@lopez-herrera.com
EDU154,Maestría,MP-771210,Rodríguez-González,Maestría,Cabrera-Amaya,,paola66@castrillon.com
EDU155,Profesional,MP-639812,García Group,,Rojas-Jiménez,GESTION PUBLICA,sandracortes@nino.info
EDU156,Profesional,MP-273532,Cantillo and Sons,,Arévalo Ltd,,cacosta@perez-carrillo.com
EDU157,Profesional,MP-388816,Correa-López,,Ortega LLC,,ortegaeduardo@duque.com
EDU158,Profesional,MP-241564,Rodríguez-Oviedo,,Mendoza Inc,,carlosreyes@santos-castellanos.com
EDU159,Maestría,MP-143001,Villamizar Ltd,Maestría,Fajardo and Sons,GERENCIA DE SISTEMAS DE GESTION DE CALIDAD EN EL SECTOR PUBLICO,angelabecerra@gomez.com
EDU160,Profesional,MP-449307,Castillo-Salazar,,Paz-Pineda,,juan83@bermudez.com
EDU161,Especialización,MP-235565,Figueroa Inc,Especialización,Castañeda-Espinosa,,kescobar@valencia-lozano.com
EDU162,Profesional,MP-510925,Ríos Inc,,Cárdenas-Vargas,,nubia55@torres.biz
EDU163,Profesional,MP-224481,"García, Carvajal and Carrillo",,Torres-Velásquez,,menaramiro@henao.com
EDU164,Profesional,MP-599046,Peña Ltd,,"Moreno, Marín and Gutiérrez",,juansanchez@serrano.com
EDU165,Profesional,MP-669667,Flórez-Velásquez,,López-Gamboa,,phenao@ramirez.info
EDU166,Especialización,MP-383876,Vargas Ltd,Especialización,"Fajardo, Bautista and Pinzón",,ingridvalencia@diaz.com
EDU167,Técnico,,"García, Arias and Delgado",,"Jaramillo, Rico and Sánchez",,manuelgiraldo@parra.com
EDU168,Especialización,MP-756449,García and Sons,Especialización,Villegas and Sons,,kgonzalez@perez-bedoya.com
EDU169,Profesional,MP-233172,Morales-Trujillo,,"Ortega, Bernal and Gil",,diegogarzon@garcia.com
EDU170,Profesional,MP-209575,Peña-Fonseca,,"Serna, Medina and Ballesteros",,jaimecaicedo@ramirez.com
EDU171,Tecnólogo,,"Díaz, Cano and Melo",,Vargas-Betancur,,vpadilla@cruz.com
EDU172,Tecnólogo,,"Ospina, Parada and Triana",,"Díaz, Jiménez and Durán",GESTION PUBLICA,leandrohenao@yepes.biz
EDU173,Especialización,MP-142092,Luna-Navarro,Especialización,Sandoval and Sons,,maria95@restrepo.com
EDU174,Profesional,MP-818040,Flórez-Ruiz,,"Carrillo, Gómez and Prada",,lizethrueda@munoz-contreras.biz
EDU175,Maestría,MP-177842,Córdoba Ltd,Maestría,"Martínez, Suárez and Cárdenas",,antonia36@rodriguez-pinzon.com
EDU176,Especialización,MP-119033,"Díaz, Barbosa and Sánchez",Especialización,López Inc,FORTALECIMIENTO A INSTANCIAS DE PARTICIPACION Y LIDERAZGO Y ADMINISTRACION PUBLICA,santiagoacosta@zambrano-hernandez.com
EDU177,Especialización,MP-420787,"Rentería, Betancur and Buitrago",Especialización,"Barrera, González and Morales",,romeroalexander@duran.org
EDU178,Profesional,MP-714390,"Pérez, Rodríguez and Mesa",,Serrano-Cruz,,nestor11@benitez-meneses.info
EDU179,Especialización,MP-138635,"Andrade, Fernández and Bermúdez",Especialización,Bonilla-Rojas,,qtriana@gonzalez-rodriguez.net
EDU180,Maestría,MP-900921,Murillo-Galindo,Maestría,"Monroy, Caro and Burbano",,rperea@ariza.com
EDU181,Profesional,MP-234869,Oviedo-Bustos,,"Luna, Gómez and Restrepo",,stella44@rodriguez.org
EDU182,Especialización,MP-313981,"Fernández, Murillo and Orozco",Especialización,Contreras-Erazo,,yeniferlondono@lopez.net
EDU183,Maestría,MP-712492,"Hernández, Carvajal and Díaz",Maestría,"Ocampo, Portilla and Vargas",,eduardo15@fernandez-gonzales.com
EDU184,Profesional,MP-938003,"Pacheco, Pérez and Quiroga",,"Flórez, Montoya and Rojas",,jhon41@mosquera-morales.net
EDU185,Especialización,MP-680466,Moreno Ltd,Especialización,"Medina, Ruiz and Flórez",CREACION Y ADMON DE EMPRESAS desarrollo e integracion fronteriza,luz80@narvaez.com
EDU186,Profesional,MP-745753,Flórez LLC,,Marín-Gómez,,edwin88@cantillo.biz
EDU187,Profesional,MP-913081,"Rodríguez, Angulo and García",,Gil Group,,fguerrero@fuentes.com
EDU188,Especialización,MP-655462,Quintero LLC,Especialización,"Molina, Jaimes and Caicedo",,jorgeperez@camargo.com
EDU189,Profesional,MP-123782,Cárdenas-Jiménez,,"Cruz, Rojas and Rodríguez",CREACION Y ADMON DE EMPRESAS,alvarezgina@morales.com
EDU190,Técnico,,Pineda Inc,,"Meza, López and Quintero",,villaandres@ortiz-jimenez.org
EDU191,Maestría,MP-989465,Vásquez and Sons,Maestría,Nieto-Mendoza,,eerazo@rodriguez-osorio.com
EDU192,Profesional,MP-357594,Pineda-Castillo,,Londoño-Bedoya,,johannarodriguez@castro.org
EDU193,Técnico,,Narváez-Guerra,,"Henao, García and Solano",CREACION Y ADMINISTRACION DE EMPRESAS,imurillo@salgado.com
EDU194,Especialización,MP-174740,Herrera-Velasco,Especialización,Zambrano-Barrios,FORTALECIMIENTO A INSTANCIAS DE PARTICIPACION Y LIDERAZGO,duarteolga@hurtado-diaz.info
EDU195,Técnico,,"Sierra, Hernández and Leal",,Martínez LLC,,garciasergio@jimenez-erazo.com
EDU196,Especialización,MP-912853,"Molano, Rueda and Hurtado",Especialización,"Martínez, Cortés and Daza",,pazoscar@franco-torres.com
EDU197,Profesional,MP-611083,"Gutiérrez, Espitia and Benítez",,Villamil-Castro,,alonsorodriguez@mesa.biz
EDU198,Especialización,MP-396037,Agudelo-Páez,Especialización,Ríos Ltd,,jose17@cruz-toro.com
EDU199,Especialización,MP-279838,Muñoz-González,Especialización,"Mendoza, Moreno and Mora",,paola61@mendez.com
EDU200,Profesional,MP-174813,Navarro-López,,"Ramos, Velásquez and Martínez",,esther33@hoyos.com
EDU201,Técnico,,Salas Ltd,,Salazar-Ávila,,cguevara@florez.info
EDU202,Profesional,MP-160428,Lozano-Mejía,,Tovar-Saavedra,,eliasbenitez@perez.com
EDU203,Especialización,MP-222258,Uribe-Cardona,Especialización,Ballesteros Ltd,,diazfernando@garcia-roa.com
EDU204,Profesional,MP-738836,Arias-Orozco,,Melo-Correa,,gonzalomaldonado@lopez.com
EDU205,Especialización,MP-345690,"Martínez, Martínez and Rojas",Especialización,"Ramírez, Sánchez and Lozano",GESTION PUBLICA,carmen80@rodriguez.com
EDU206,Especialización,MP-578007,"Escobar, Gómez and Gómez",Especialización,Rueda-González,,kcalderon@sanabria-moreno.net
EDU207,Maestría,MP-234832,"Acosta, Gutiérrez and Ávila",Maestría,"Carvajal, Ruiz and Oviedo",,mirandayeimy@cardona.net
EDU208,Técnico,,Pérez-Rivas,,Ramírez-Bautista,,nalfonso@guevara.info
EDU209,Especialización,MP-119816,Morales and Sons,Especialización,Morales Group,,kellymurillo@silva-castano.com
EDU210,Especialización,MP-814635,Rodríguez LLC,Especialización,Beltrán Group,,jhon06@guerrero-mesa.com
EDU211,Técnico,,Figueroa-Herrera,,Murcia-Rodríguez,,pmorales@delgado.com
EDU212,Especialización,MP-702567,Salazar-Ortega,Especialización,"Medina, Quintero and Pinto",,ana19@trujillo.com
EDU213,Especialización,MP-910208,"Melo, Alfonso and Agudelo",Especialización,Quintero PLC,,angulojorge@valencia.biz
EDU214,Profesional,MP-306940,Martínez and Sons,,Pérez-Rengifo,,yolanda05@gomez.info
EDU215,Profesional,MP-138765,Ospino Inc,,"Morales, Ochoa and Montoya","GESTION PUBLICA, ENCUESTAS POR MUESTREO Y CUENTAS NACIONALES",favila@nino.net
EDU216,Profesional,MP-872042,Quintero and Sons,,Cárdenas-Arias,CREACION Y ADMON DE EMPRESAS Y PARTICIPACION CIUDADANA,mariabenitez@rodriguez.com
EDU217,Profesional,MP-982470,"Montoya, Prada and Hernández",,"Rueda, Guerrero and Torres",,bernardo67@alvarez.com
EDU218,Especialización,MP-474710,Andrade-Duque,Especialización,Hernández Ltd,,luzortega@triana-rodriguez.com
EDU219,Especialización,MP-860129,"Flórez, Ramírez and García",Especialización,Ortega PLC,GESTION PUBLICA,marinahernandez@cortes.org
EDU220,Profesional,MP-980438,"Andrade, Serna and Salazar",,"Rodríguez, Castro and Ramírez","DIPLOMADOS EN:GESTION PUBLICA, EMPLEO PUBLICO Y NUEVOS INSTRUMENTOS DE GESTION HUMANA Y GESTIÓN POR COMPETENCIAS DEL TALENTO HUMANO",vrodriguez@calderon.biz
EDU221,Tecnólogo,,Vargas-Garzón,,Andrade-Rodríguez,APLICACIÓN DE LA METODOLOGIA BIT-PASE,hoyosmargarita@trujillo.net
EDU222,Profesional,MP-254249,Fernández-Hurtado,,"Castro, Barrios and López",,kcuesta@leal.info
